name,marks,deadline
10120-poster-F-Poster,"
# /10
",11-Dec-20 23:59
10120-Quiz1-F-Lab1,"
29 /36(81%)
 ",18-Dec-20 17:00
10120-Quiz2-F-Lab 2,"
34 /41(83%)
 ",18-Dec-20 17:00
10120-Quiz3-F-Lab 3,"
42 /50(84%)
 ",18-Dec-20 17:00
10120-Quiz4-F-Lab 4,"
46 /60(77%)
 ",18-Dec-20 17:00
10120-Quiz8-F-Lab 8,"
8 /10(80%)
 ",18-Dec-20 17:00
11120-sheet00-F-Sheet 0,"
3 /5(60%)
 ",05-Oct-20 11:00
11120-sheet01-S-Sheet 1,"
4 /5(80%)
 ",12-Oct-20 11:00
11120-sheet02-S-Sheet 2,"
5 /5(100%)
 ",19-Oct-20 11:00
11120-sheet03-S-Sheet 3,"
5 /5(100%)
 ",26-Oct-20 12:00
11120-sheet04-S-Sheet 4,"
3 /5(60%)
 ",02-Nov-20 12:00
11120-sheet05-S-Sheet 5,"
3 /5(60%)
 ",09-Nov-20 12:00
11120-sheet06-S-Sheet 6,"
3 /5(60%)
 ",16-Nov-20 12:00
11120-sheet07-S-Sheet 7,"
3 /5(60%)
 ",23-Nov-20 12:00
11120-sheet08-S-Sheet 8,"
5 /5(100%)
 ",30-Nov-20 12:00
12111-Lab1-F-Adders,"
97 /100(97%)
 ",23-Oct-20 17:00
12111-Lab2-S-Combinatorial,"
100 /100(100%)
 ",06-Nov-20 18:00
12111-Test-S-Midterm test,"
13 /14(93%)
 ",13-Nov-20 18:00
15111-LAB1-S-Introduction,"
10 /10(100%)
 ",25-Oct-20 23:59
15111-LAB2-S-Control Structures,"
10 /10(100%)
 ",08-Nov-20 23:59
15111-LAB3-S-Addressing,"
10 /10(100%)
 ",22-Nov-20 23:59
16321-LAB1-F-QUIZ,"
12 /60(20%)
 ",not applicable
16321-LAB2-F-QUIZ,"
47 /60(78%)
 ",not applicable
16321-LAB3-F-QUIZ,"
46 /60(77%)
 ",not applicable
16321-LAB4-F-QUIZ,"
49 /60(82%)
 ",not applicable
16321-LAB5-F-QUIZ,"
53 /60(88%)
 ",not applicable
16321-Cwk1-S-Python Basics,"
98.7 /100(99%)
 ",06-Nov-20 18:00
16321-Test1-S-Midterm 01,"
28.4 /30(95%)
 ",11-Nov-20 18:00
10120-poster-F-Poster,"
# /10
",11-Dec-20 23:59
10120-Quiz1-F-Lab1,"
29 /36(81%)
 ",18-Dec-20 17:00
10120-Quiz2-F-Lab 2,"
34 /41(83%)
 ",18-Dec-20 17:00
10120-Quiz3-F-Lab 3,"
42 /50(84%)
 ",18-Dec-20 17:00
10120-Quiz4-F-Lab 4,"
46 /60(77%)
 ",18-Dec-20 17:00
10120-Quiz8-F-Lab 8,"
8 /10(80%)
 ",18-Dec-20 17:00
11120-sheet00-F-Sheet 0,"
3 /5(60%)
 ",05-Oct-20 11:00
11120-sheet01-S-Sheet 1,"
4 /5(80%)
 ",12-Oct-20 11:00
11120-sheet02-S-Sheet 2,"
5 /5(100%)
 ",19-Oct-20 11:00
11120-sheet03-S-Sheet 3,"
5 /5(100%)
 ",26-Oct-20 12:00
11120-sheet04-S-Sheet 4,"
3 /5(60%)
 ",02-Nov-20 12:00
11120-sheet05-S-Sheet 5,"
3 /5(60%)
 ",09-Nov-20 12:00
11120-sheet06-S-Sheet 6,"
3 /5(60%)
 ",16-Nov-20 12:00
11120-sheet07-S-Sheet 7,"
3 /5(60%)
 ",23-Nov-20 12:00
11120-sheet08-S-Sheet 8,"
5 /5(100%)
 ",30-Nov-20 12:00
